"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 06 20:41:22 GMT 2023","Thu Apr 06 20:41:52 GMT 2023","30650","sw-firefox","e2e/login.spec.ts","[E2E] Login scenarios","","","[E2E] Login to webpage from signup form",""
"passed","Thu Apr 06 20:41:20 GMT 2023","Thu Apr 06 20:41:22 GMT 2023","1746","sw-firefox","api/actors.spec.ts","[API] Tests examples","","","[API] Actors API tests example",""
"passed","Thu Apr 06 20:41:19 GMT 2023","Thu Apr 06 20:41:21 GMT 2023","2592","sw-firefox","api/actors-mock.spec.ts","","","","[API] Actor API Mock example",""
"passed","Thu Apr 06 20:41:10 GMT 2023","Thu Apr 06 20:41:20 GMT 2023","10299","sw-chrome","e2e/login.spec.ts","[E2E] Login scenarios","","","[E2E] Login to webpage from signup form",""
"passed","Thu Apr 06 20:41:08 GMT 2023","Thu Apr 06 20:41:16 GMT 2023","7957","sw-chrome","e2e/actors.spec.ts","[E2E] Test Cases for Actors data verification","","","[E2E] Verify HAR file usage",""
"skipped","Thu Apr 06 20:41:20 GMT 2023","Thu Apr 06 20:41:20 GMT 2023","0","sw-firefox","e2e/actors.spec.ts","[E2E] Test Cases for Actors data verification","","","[E2E] Record HAR file",""
"passed","Thu Apr 06 20:41:08 GMT 2023","Thu Apr 06 20:41:16 GMT 2023","8182","sw-chrome","e2e/login.spec.ts","[E2E] Login scenarios","","","[E2E] Login to webpage as default user",""
"skipped","Thu Apr 06 20:41:52 GMT 2023","Thu Apr 06 20:41:52 GMT 2023","1","sw-edge","e2e/actors.spec.ts","[E2E] Test Cases for Actors data verification","","","[E2E] Record HAR file",""
"passed","Thu Apr 06 20:41:11 GMT 2023","Thu Apr 06 20:41:20 GMT 2023","9664","sw-chrome","e2e/react.spec.ts","[E2E] React Selectors","","","[E2E] Test React selectors",""
"passed","Thu Apr 06 20:41:08 GMT 2023","Thu Apr 06 20:41:11 GMT 2023","2253","sw-chrome","api/actors.spec.ts","[API] Tests examples","","","[API] Actors API tests example",""
"passed","Thu Apr 06 20:41:08 GMT 2023","Thu Apr 06 20:41:10 GMT 2023","2279","sw-chrome","api/actors-mock.spec.ts","","","","[API] Actor API Mock example",""
"passed","Thu Apr 06 20:41:21 GMT 2023","Thu Apr 06 20:41:49 GMT 2023","27607","sw-firefox","e2e/login.spec.ts","[E2E] Login scenarios","","","[E2E] Login to webpage as default user",""
"skipped","Thu Apr 06 20:41:07 GMT 2023","Thu Apr 06 20:41:07 GMT 2023","2","sw-chrome","e2e/actors.spec.ts","[E2E] Test Cases for Actors data verification","","","[E2E] Record HAR file",""
"passed","Thu Apr 06 20:41:08 GMT 2023","Thu Apr 06 20:41:42 GMT 2023","34106","sw-chrome","e2e/example.spec.ts","","","","test",""
"passed","Thu Apr 06 20:41:22 GMT 2023","Thu Apr 06 20:41:46 GMT 2023","23804","sw-firefox","e2e/actors.spec.ts","[E2E] Test Cases for Actors data verification","","","[E2E] Verify HAR file usage",""
