"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 06 20:26:34 GMT 2023","Thu Apr 06 20:26:42 GMT 2023","8500","sw-chrome","e2e/actors.spec.ts","[E2E] Test Cases for Actors data verification","","","[E2E] Verify HAR file usage",""
"passed","Thu Apr 06 20:26:34 GMT 2023","Thu Apr 06 20:26:59 GMT 2023","25702","sw-chrome","e2e/example.spec.ts","","","","test",""
"skipped","Thu Apr 06 20:27:11 GMT 2023","Thu Apr 06 20:27:11 GMT 2023","1","sw-safari","e2e/actors.spec.ts","[E2E] Test Cases for Actors data verification","","","[E2E] Record HAR file",""
"passed","Thu Apr 06 20:27:11 GMT 2023","Thu Apr 06 20:28:28 GMT 2023","76781","sw-safari","e2e/example.spec.ts","","","","test",""
"passed","Thu Apr 06 20:26:36 GMT 2023","Thu Apr 06 20:26:47 GMT 2023","10533","sw-chrome","e2e/react.spec.ts","[E2E] React Selectors","","","[E2E] Test React selectors",""
"passed","Thu Apr 06 20:26:56 GMT 2023","Thu Apr 06 20:27:04 GMT 2023","7836","sw-edge","e2e/actors.spec.ts","[E2E] Test Cases for Actors data verification","","","[E2E] Verify HAR file usage",""
"failed","Thu Apr 06 20:26:53 GMT 2023","Thu Apr 06 20:26:54 GMT 2023","865","sw-firefox","e2e/login.spec.ts","[E2E] Login scenarios","","","[E2E] Login to webpage from signup form",""
"passed","Thu Apr 06 20:27:11 GMT 2023","Thu Apr 06 20:27:38 GMT 2023","26692","sw-safari","e2e/login.spec.ts","[E2E] Login scenarios","","","[E2E] Login to webpage as default user",""
"failed","Thu Apr 06 20:26:54 GMT 2023","Thu Apr 06 20:26:55 GMT 2023","746","sw-firefox","e2e/example.spec.ts","","","","test",""
"passed","Thu Apr 06 20:27:28 GMT 2023","Thu Apr 06 20:27:50 GMT 2023","22103","sw-safari","e2e/react.spec.ts","[E2E] React Selectors","","","[E2E] Test React selectors",""
"failed","Thu Apr 06 20:26:53 GMT 2023","Thu Apr 06 20:26:53 GMT 2023","732","sw-firefox","e2e/login.spec.ts","[E2E] Login scenarios","","","[E2E] Login to webpage as default user",""
"skipped","Thu Apr 06 20:26:32 GMT 2023","Thu Apr 06 20:26:32 GMT 2023","2","sw-chrome","e2e/actors.spec.ts","[E2E] Test Cases for Actors data verification","","","[E2E] Record HAR file",""
"passed","Thu Apr 06 20:26:55 GMT 2023","Thu Apr 06 20:26:57 GMT 2023","2036","sw-edge","api/actors-mock.spec.ts","","","","[API] Actor API Mock example",""
"failed","Thu Apr 06 20:26:54 GMT 2023","Thu Apr 06 20:26:54 GMT 2023","810","sw-firefox","e2e/actors.spec.ts","[E2E] Test Cases for Actors data verification","","","[E2E] Verify HAR file usage",""
"passed","Thu Apr 06 20:26:45 GMT 2023","Thu Apr 06 20:26:47 GMT 2023","2381","sw-firefox","api/actors-mock.spec.ts","","","","[API] Actor API Mock example",""
"passed","Thu Apr 06 20:26:56 GMT 2023","Thu Apr 06 20:26:58 GMT 2023","1671","sw-edge","api/actors.spec.ts","[API] Tests examples","","","[API] Actors API tests example",""
"passed","Thu Apr 06 20:27:09 GMT 2023","Thu Apr 06 20:27:11 GMT 2023","2149","sw-safari","api/actors.spec.ts","[API] Tests examples","","","[API] Actors API tests example",""
"passed","Thu Apr 06 20:26:34 GMT 2023","Thu Apr 06 20:26:43 GMT 2023","9264","sw-chrome","e2e/login.spec.ts","[E2E] Login scenarios","","","[E2E] Login to webpage as default user",""
"skipped","Thu Apr 06 20:26:46 GMT 2023","Thu Apr 06 20:26:46 GMT 2023","1","sw-firefox","e2e/actors.spec.ts","[E2E] Test Cases for Actors data verification","","","[E2E] Record HAR file",""
"passed","Thu Apr 06 20:26:58 GMT 2023","Thu Apr 06 20:27:06 GMT 2023","8176","sw-edge","e2e/login.spec.ts","[E2E] Login scenarios","","","[E2E] Login to webpage as default user",""
"passed","Thu Apr 06 20:27:14 GMT 2023","Thu Apr 06 20:27:43 GMT 2023","28241","sw-safari","e2e/login.spec.ts","[E2E] Login scenarios","","","[E2E] Login to webpage from signup form",""
"skipped","Thu Apr 06 20:26:55 GMT 2023","Thu Apr 06 20:26:55 GMT 2023","1","sw-edge","e2e/actors.spec.ts","[E2E] Test Cases for Actors data verification","","","[E2E] Record HAR file",""
"passed","Thu Apr 06 20:27:02 GMT 2023","Thu Apr 06 20:27:11 GMT 2023","8894","sw-edge","e2e/login.spec.ts","[E2E] Login scenarios","","","[E2E] Login to webpage from signup form",""
"passed","Thu Apr 06 20:26:34 GMT 2023","Thu Apr 06 20:26:36 GMT 2023","2636","sw-chrome","api/actors-mock.spec.ts","","","","[API] Actor API Mock example",""
"passed","Thu Apr 06 20:26:36 GMT 2023","Thu Apr 06 20:26:46 GMT 2023","10559","sw-chrome","e2e/login.spec.ts","[E2E] Login scenarios","","","[E2E] Login to webpage from signup form",""
"passed","Thu Apr 06 20:27:05 GMT 2023","Thu Apr 06 20:27:13 GMT 2023","8391","sw-edge","e2e/react.spec.ts","[E2E] React Selectors","","","[E2E] Test React selectors",""
"passed","Thu Apr 06 20:27:07 GMT 2023","Thu Apr 06 20:27:11 GMT 2023","3635","sw-safari","api/actors-mock.spec.ts","","","","[API] Actor API Mock example",""
"failed","Thu Apr 06 20:27:00 GMT 2023","Thu Apr 06 20:27:02 GMT 2023","1207","sw-firefox","e2e/react.spec.ts","[E2E] React Selectors","","","[E2E] Test React selectors",""
"passed","Thu Apr 06 20:26:57 GMT 2023","Thu Apr 06 20:27:23 GMT 2023","26029","sw-edge","e2e/example.spec.ts","","","","test",""
"passed","Thu Apr 06 20:26:46 GMT 2023","Thu Apr 06 20:26:48 GMT 2023","1933","sw-firefox","api/actors.spec.ts","[API] Tests examples","","","[API] Actors API tests example",""
"passed","Thu Apr 06 20:27:13 GMT 2023","Thu Apr 06 20:27:31 GMT 2023","18522","sw-safari","e2e/actors.spec.ts","[E2E] Test Cases for Actors data verification","","","[E2E] Verify HAR file usage",""
"passed","Thu Apr 06 20:26:34 GMT 2023","Thu Apr 06 20:26:36 GMT 2023","1874","sw-chrome","api/actors.spec.ts","[API] Tests examples","","","[API] Actors API tests example",""
