"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 08 10:17:56 GMT 2023","Tue Aug 08 10:18:03 GMT 2023","6584","sw-edge","","[E2E] React Selectors","","","[E2E] Test React selectors",""
"passed","Tue Aug 08 10:17:10 GMT 2023","Tue Aug 08 10:18:25 GMT 2023","75105","sw-firefox","","","","","test",""
"passed","Tue Aug 08 10:18:04 GMT 2023","Tue Aug 08 10:18:21 GMT 2023","16942","sw-safari","","[E2E] Test Cases for Actors data verification","","","[E2E] Verify HAR file usage",""
"passed","Tue Aug 08 10:17:52 GMT 2023","Tue Aug 08 10:18:01 GMT 2023","8918","sw-edge","","[E2E] Login scenarios","","","[E2E] Login to webpage as default user",""
"skipped","Tue Aug 08 10:17:07 GMT 2023","Tue Aug 08 10:17:07 GMT 2023","1","sw-firefox","","[E2E] Test Cases for Actors data verification","","","[E2E] Record HAR file",""
"passed","Tue Aug 08 10:17:09 GMT 2023","Tue Aug 08 10:17:37 GMT 2023","28418","sw-firefox","","[E2E] Login scenarios","","","[E2E] Login to webpage as default user",""
"passed","Tue Aug 08 10:16:53 GMT 2023","Tue Aug 08 10:16:57 GMT 2023","4098","sw-chrome","","","","","[API] Actor API Mock example",""
"passed","Tue Aug 08 10:18:00 GMT 2023","Tue Aug 08 10:18:04 GMT 2023","4295","sw-safari","","","","","[API] Actor API Mock example",""
"passed","Tue Aug 08 10:17:47 GMT 2023","Tue Aug 08 10:17:56 GMT 2023","8736","sw-edge","","[E2E] Login scenarios","","","[E2E] Login to webpage from signup form",""
"passed","Tue Aug 08 10:17:09 GMT 2023","Tue Aug 08 10:17:32 GMT 2023","22555","sw-firefox","","[E2E] Test Cases for Actors data verification","","","[E2E] Verify HAR file usage",""
"passed","Tue Aug 08 10:18:04 GMT 2023","Tue Aug 08 10:19:34 GMT 2023","89475","sw-safari","","","","","test",""
"skipped","Tue Aug 08 10:18:03 GMT 2023","Tue Aug 08 10:18:03 GMT 2023","0","sw-safari","","[E2E] Test Cases for Actors data verification","","","[E2E] Record HAR file",""
"passed","Tue Aug 08 10:16:59 GMT 2023","Tue Aug 08 10:17:08 GMT 2023","9236","sw-chrome","","[E2E] React Selectors","","","[E2E] Test React selectors",""
"passed","Tue Aug 08 10:16:53 GMT 2023","Tue Aug 08 10:17:38 GMT 2023","44774","sw-chrome","","","","","test",""
"passed","Tue Aug 08 10:17:46 GMT 2023","Tue Aug 08 10:18:15 GMT 2023","29138","sw-edge","","","","","test",""
"passed","Tue Aug 08 10:18:19 GMT 2023","Tue Aug 08 10:18:41 GMT 2023","21886","sw-safari","","[E2E] Login scenarios","","","[E2E] Login to webpage from signup form",""
"passed","Tue Aug 08 10:16:53 GMT 2023","Tue Aug 08 10:16:59 GMT 2023","5844","sw-chrome","","[API] Tests examples","","","[API] Actors API tests example",""
"skipped","Tue Aug 08 10:16:51 GMT 2023","Tue Aug 08 10:16:51 GMT 2023","2","sw-chrome","","[E2E] Test Cases for Actors data verification","","","[E2E] Record HAR file",""
"passed","Tue Aug 08 10:17:44 GMT 2023","Tue Aug 08 10:17:47 GMT 2023","3472","sw-edge","","","","","[API] Actor API Mock example",""
"passed","Tue Aug 08 10:17:04 GMT 2023","Tue Aug 08 10:17:09 GMT 2023","4509","sw-firefox","","","","","[API] Actor API Mock example",""
"passed","Tue Aug 08 10:17:12 GMT 2023","Tue Aug 08 10:17:44 GMT 2023","31587","sw-firefox","","[E2E] Login scenarios","","","[E2E] Login to webpage from signup form",""
"passed","Tue Aug 08 10:17:48 GMT 2023","Tue Aug 08 10:17:58 GMT 2023","9893","sw-edge","","[E2E] Test Cases for Actors data verification","","","[E2E] Verify HAR file usage",""
"passed","Tue Aug 08 10:17:06 GMT 2023","Tue Aug 08 10:17:12 GMT 2023","5388","sw-firefox","","[API] Tests examples","","","[API] Actors API tests example",""
"passed","Tue Aug 08 10:18:03 GMT 2023","Tue Aug 08 10:18:07 GMT 2023","4605","sw-safari","","[API] Tests examples","","","[API] Actors API tests example",""
"passed","Tue Aug 08 10:17:32 GMT 2023","Tue Aug 08 10:17:47 GMT 2023","14978","sw-firefox","","[E2E] React Selectors","","","[E2E] Test React selectors",""
"passed","Tue Aug 08 10:16:57 GMT 2023","Tue Aug 08 10:17:07 GMT 2023","9998","sw-chrome","","[E2E] Login scenarios","","","[E2E] Login to webpage from signup form",""
"passed","Tue Aug 08 10:18:21 GMT 2023","Tue Aug 08 10:18:40 GMT 2023","19092","sw-safari","","[E2E] React Selectors","","","[E2E] Test React selectors",""
"passed","Tue Aug 08 10:18:07 GMT 2023","Tue Aug 08 10:18:28 GMT 2023","20353","sw-safari","","[E2E] Login scenarios","","","[E2E] Login to webpage as default user",""
"passed","Tue Aug 08 10:16:53 GMT 2023","Tue Aug 08 10:17:03 GMT 2023","10450","sw-chrome","","[E2E] Test Cases for Actors data verification","","","[E2E] Verify HAR file usage",""
"passed","Tue Aug 08 10:17:41 GMT 2023","Tue Aug 08 10:17:46 GMT 2023","5604","sw-edge","","[API] Tests examples","","","[API] Actors API tests example",""
"passed","Tue Aug 08 10:16:53 GMT 2023","Tue Aug 08 10:17:02 GMT 2023","8413","sw-chrome","","[E2E] Login scenarios","","","[E2E] Login to webpage as default user",""
"skipped","Tue Aug 08 10:17:44 GMT 2023","Tue Aug 08 10:17:44 GMT 2023","1","sw-edge","","[E2E] Test Cases for Actors data verification","","","[E2E] Record HAR file",""
