"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 06 20:18:11 GMT 2023","Thu Apr 06 20:18:20 GMT 2023","8991","sw-chrome","e2e/actors.spec.ts","[E2E] Test Cases for Actors data verification","","","[E2E] Verify HAR file usage",""
"passed","Thu Apr 06 20:19:01 GMT 2023","Thu Apr 06 20:19:26 GMT 2023","25086","sw-edge","e2e/example.spec.ts","","","","test",""
"passed","Thu Apr 06 20:19:16 GMT 2023","Thu Apr 06 20:19:23 GMT 2023","6588","sw-edge","e2e/login.spec.ts","[E2E] Login scenarios","","","[E2E] Login to webpage from signup form",""
"passed","Thu Apr 06 20:19:23 GMT 2023","Thu Apr 06 20:19:59 GMT 2023","36072","sw-safari","e2e/login.spec.ts","[E2E] Login scenarios","","","[E2E] Login to webpage as default user",""
"passed","Thu Apr 06 20:18:26 GMT 2023","Thu Apr 06 20:19:30 GMT 2023","63676","sw-firefox","e2e/example.spec.ts","","","","test",""
"passed","Thu Apr 06 20:18:25 GMT 2023","Thu Apr 06 20:18:51 GMT 2023","26111","sw-firefox","e2e/actors.spec.ts","[E2E] Test Cases for Actors data verification","","","[E2E] Verify HAR file usage",""
"passed","Thu Apr 06 20:19:17 GMT 2023","Thu Apr 06 20:19:20 GMT 2023","2995","sw-safari","api/actors-mock.spec.ts","","","","[API] Actor API Mock example",""
"passed","Thu Apr 06 20:18:13 GMT 2023","Thu Apr 06 20:18:24 GMT 2023","10680","sw-chrome","e2e/react.spec.ts","[E2E] React Selectors","","","[E2E] Test React selectors",""
"passed","Thu Apr 06 20:19:31 GMT 2023","Thu Apr 06 20:20:02 GMT 2023","30831","sw-safari","e2e/react.spec.ts","[E2E] React Selectors","","","[E2E] Test React selectors",""
"passed","Thu Apr 06 20:19:20 GMT 2023","Thu Apr 06 20:19:49 GMT 2023","29544","sw-safari","e2e/actors.spec.ts","[E2E] Test Cases for Actors data verification","","","[E2E] Verify HAR file usage",""
"passed","Thu Apr 06 20:18:25 GMT 2023","Thu Apr 06 20:18:56 GMT 2023","31325","sw-firefox","e2e/login.spec.ts","[E2E] Login scenarios","","","[E2E] Login to webpage as default user",""
"passed","Thu Apr 06 20:19:14 GMT 2023","Thu Apr 06 20:19:19 GMT 2023","5606","sw-edge","e2e/react.spec.ts","[E2E] React Selectors","","","[E2E] Test React selectors",""
"passed","Thu Apr 06 20:18:58 GMT 2023","Thu Apr 06 20:19:01 GMT 2023","2266","sw-edge","api/actors-mock.spec.ts","","","","[API] Actor API Mock example",""
"passed","Thu Apr 06 20:19:02 GMT 2023","Thu Apr 06 20:19:04 GMT 2023","1735","sw-edge","api/actors.spec.ts","[API] Tests examples","","","[API] Actors API tests example",""
"passed","Thu Apr 06 20:18:11 GMT 2023","Thu Apr 06 20:18:13 GMT 2023","1987","sw-chrome","api/actors.spec.ts","[API] Tests examples","","","[API] Actors API tests example",""
"passed","Thu Apr 06 20:18:25 GMT 2023","Thu Apr 06 20:18:58 GMT 2023","32573","sw-firefox","e2e/login.spec.ts","[E2E] Login scenarios","","","[E2E] Login to webpage from signup form",""
"passed","Thu Apr 06 20:19:22 GMT 2023","Thu Apr 06 20:19:23 GMT 2023","1419","sw-safari","api/actors.spec.ts","[API] Tests examples","","","[API] Actors API tests example",""
"passed","Thu Apr 06 20:18:11 GMT 2023","Thu Apr 06 20:18:13 GMT 2023","2461","sw-chrome","api/actors-mock.spec.ts","","","","[API] Actor API Mock example",""
"passed","Thu Apr 06 20:19:27 GMT 2023","Thu Apr 06 20:19:59 GMT 2023","32765","sw-safari","e2e/login.spec.ts","[E2E] Login scenarios","","","[E2E] Login to webpage from signup form",""
"passed","Thu Apr 06 20:19:04 GMT 2023","Thu Apr 06 20:19:15 GMT 2023","10747","sw-edge","e2e/login.spec.ts","[E2E] Login scenarios","","","[E2E] Login to webpage as default user",""
"passed","Thu Apr 06 20:18:22 GMT 2023","Thu Apr 06 20:18:25 GMT 2023","2522","sw-firefox","api/actors-mock.spec.ts","","","","[API] Actor API Mock example",""
"skipped","Thu Apr 06 20:18:58 GMT 2023","Thu Apr 06 20:18:58 GMT 2023","1","sw-edge","e2e/actors.spec.ts","[E2E] Test Cases for Actors data verification","","","[E2E] Record HAR file",""
"passed","Thu Apr 06 20:18:11 GMT 2023","Thu Apr 06 20:18:34 GMT 2023","23245","sw-chrome","e2e/example.spec.ts","","","","test",""
"passed","Thu Apr 06 20:19:03 GMT 2023","Thu Apr 06 20:19:14 GMT 2023","10463","sw-edge","e2e/actors.spec.ts","[E2E] Test Cases for Actors data verification","","","[E2E] Verify HAR file usage",""
"skipped","Thu Apr 06 20:19:20 GMT 2023","Thu Apr 06 20:19:20 GMT 2023","0","sw-safari","e2e/actors.spec.ts","[E2E] Test Cases for Actors data verification","","","[E2E] Record HAR file",""
"passed","Thu Apr 06 20:18:13 GMT 2023","Thu Apr 06 20:18:23 GMT 2023","10292","sw-chrome","e2e/login.spec.ts","[E2E] Login scenarios","","","[E2E] Login to webpage from signup form",""
"skipped","Thu Apr 06 20:18:09 GMT 2023","Thu Apr 06 20:18:09 GMT 2023","1","sw-chrome","e2e/actors.spec.ts","[E2E] Test Cases for Actors data verification","","","[E2E] Record HAR file",""
"passed","Thu Apr 06 20:18:11 GMT 2023","Thu Apr 06 20:18:20 GMT 2023","9729","sw-chrome","e2e/login.spec.ts","[E2E] Login scenarios","","","[E2E] Login to webpage as default user",""
"skipped","Thu Apr 06 20:18:23 GMT 2023","Thu Apr 06 20:18:23 GMT 2023","0","sw-firefox","e2e/actors.spec.ts","[E2E] Test Cases for Actors data verification","","","[E2E] Record HAR file",""
"passed","Thu Apr 06 20:18:37 GMT 2023","Thu Apr 06 20:19:13 GMT 2023","35460","sw-firefox","e2e/react.spec.ts","[E2E] React Selectors","","","[E2E] Test React selectors",""
"passed","Thu Apr 06 20:19:24 GMT 2023","Thu Apr 06 20:20:41 GMT 2023","76299","sw-safari","e2e/example.spec.ts","","","","test",""
"passed","Thu Apr 06 20:18:23 GMT 2023","Thu Apr 06 20:18:25 GMT 2023","1872","sw-firefox","api/actors.spec.ts","[API] Tests examples","","","[API] Actors API tests example",""
