"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Apr 06 19:33:33 GMT 2023","Thu Apr 06 19:33:34 GMT 2023","1306","sw-safari","e2e/login.spec.ts","[E2E] Login scenarios","","","[E2E] Login to webpage as default user",""
"passed","Thu Apr 06 19:32:08 GMT 2023","Thu Apr 06 19:32:17 GMT 2023","8999","sw-chrome","e2e/login.spec.ts","[E2E] Login scenarios","","","[E2E] Login to webpage as default user",""
"passed","Thu Apr 06 19:33:05 GMT 2023","Thu Apr 06 19:33:15 GMT 2023","9218","sw-edge","e2e/login.spec.ts","[E2E] Login scenarios","","","[E2E] Login to webpage as default user",""
"passed","Thu Apr 06 19:32:23 GMT 2023","Thu Apr 06 19:33:42 GMT 2023","79734","sw-firefox","e2e/example.spec.ts","","","","test",""
"passed","Thu Apr 06 19:33:00 GMT 2023","Thu Apr 06 19:33:03 GMT 2023","2372","sw-edge","api/actors-mock.spec.ts","","","","[API] Actor API Mock example",""
"passed","Thu Apr 06 19:33:18 GMT 2023","Thu Apr 06 19:33:21 GMT 2023","2940","sw-safari","api/actors-mock.spec.ts","","","","[API] Actor API Mock example",""
"passed","Thu Apr 06 19:33:21 GMT 2023","Thu Apr 06 19:33:24 GMT 2023","2204","sw-safari","api/actors.spec.ts","[API] Tests examples","","","[API] Actors API tests example",""
"passed","Thu Apr 06 19:32:08 GMT 2023","Thu Apr 06 19:32:35 GMT 2023","26960","sw-chrome","e2e/example.spec.ts","","","","test",""
"passed","Thu Apr 06 19:32:08 GMT 2023","Thu Apr 06 19:32:16 GMT 2023","7646","sw-chrome","e2e/actors.spec.ts","[E2E] Test Cases for Actors data verification","","","[E2E] Verify HAR file usage",""
"skipped","Thu Apr 06 19:32:06 GMT 2023","Thu Apr 06 19:32:06 GMT 2023","2","sw-chrome","e2e/actors.spec.ts","[E2E] Test Cases for Actors data verification","","","[E2E] Record HAR file",""
"failed","Thu Apr 06 19:33:40 GMT 2023","Thu Apr 06 19:33:41 GMT 2023","1493","sw-safari","e2e/login.spec.ts","[E2E] Login scenarios","","","[E2E] Login to webpage from signup form",""
"failed","Thu Apr 06 19:33:39 GMT 2023","Thu Apr 06 19:33:41 GMT 2023","1598","sw-safari","e2e/react.spec.ts","[E2E] React Selectors","","","[E2E] Test React selectors",""
"passed","Thu Apr 06 19:32:10 GMT 2023","Thu Apr 06 19:32:20 GMT 2023","10067","sw-chrome","e2e/react.spec.ts","[E2E] React Selectors","","","[E2E] Test React selectors",""
"skipped","Thu Apr 06 19:33:20 GMT 2023","Thu Apr 06 19:33:20 GMT 2023","0","sw-safari","e2e/actors.spec.ts","[E2E] Test Cases for Actors data verification","","","[E2E] Record HAR file",""
"passed","Thu Apr 06 19:33:03 GMT 2023","Thu Apr 06 19:33:12 GMT 2023","8648","sw-edge","e2e/actors.spec.ts","[E2E] Test Cases for Actors data verification","","","[E2E] Verify HAR file usage",""
