"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 08 10:00:58 GMT 2023","Tue Aug 08 10:01:23 GMT 2023","25456","sw-safari","","[E2E] Login scenarios","","","[E2E] Login to webpage from signup form",""
"passed","Tue Aug 08 09:59:31 GMT 2023","Tue Aug 08 10:00:03 GMT 2023","31836","sw-firefox","","[E2E] Login scenarios","","","[E2E] Login to webpage as default user",""
"passed","Tue Aug 08 09:59:14 GMT 2023","Tue Aug 08 09:59:24 GMT 2023","10122","sw-chrome","","[E2E] Login scenarios","","","[E2E] Login to webpage as default user",""
"passed","Tue Aug 08 10:00:36 GMT 2023","Tue Aug 08 10:00:42 GMT 2023","6090","sw-safari","","[API] Tests examples","","","[API] Actors API tests example",""
"passed","Tue Aug 08 10:00:25 GMT 2023","Tue Aug 08 10:00:34 GMT 2023","8231","sw-edge","","[E2E] React Selectors","","","[E2E] Test React selectors",""
"passed","Tue Aug 08 09:59:35 GMT 2023","Tue Aug 08 10:00:11 GMT 2023","36133","sw-firefox","","[E2E] Login scenarios","","","[E2E] Login to webpage from signup form",""
"passed","Tue Aug 08 10:00:31 GMT 2023","Tue Aug 08 10:00:37 GMT 2023","5335","sw-safari","","","","","[API] Actor API Mock example",""
"passed","Tue Aug 08 10:00:11 GMT 2023","Tue Aug 08 10:00:15 GMT 2023","3931","sw-edge","","","","","[API] Actor API Mock example",""
"passed","Tue Aug 08 10:01:06 GMT 2023","Tue Aug 08 10:01:27 GMT 2023","20829","sw-safari","","[E2E] React Selectors","","","[E2E] Test React selectors",""
"passed","Tue Aug 08 10:00:14 GMT 2023","Tue Aug 08 10:01:09 GMT 2023","55070","sw-edge","","","","","test",""
"passed","Tue Aug 08 09:59:13 GMT 2023","Tue Aug 08 10:00:04 GMT 2023","50748","sw-chrome","","","","","test",""
"passed","Tue Aug 08 09:59:31 GMT 2023","Tue Aug 08 09:59:57 GMT 2023","26284","sw-firefox","","[E2E] Test Cases for Actors data verification","","","[E2E] Verify HAR file usage",""
"passed","Tue Aug 08 10:00:37 GMT 2023","Tue Aug 08 10:02:45 GMT 2023","128028","sw-safari","","","","","test",""
"skipped","Tue Aug 08 09:59:11 GMT 2023","Tue Aug 08 09:59:11 GMT 2023","3","sw-chrome","","[E2E] Test Cases for Actors data verification","","","[E2E] Record HAR file",""
"passed","Tue Aug 08 09:59:18 GMT 2023","Tue Aug 08 09:59:29 GMT 2023","11363","sw-chrome","","[E2E] Login scenarios","","","[E2E] Login to webpage from signup form",""
"passed","Tue Aug 08 09:59:13 GMT 2023","Tue Aug 08 09:59:18 GMT 2023","4627","sw-chrome","","","","","[API] Actor API Mock example",""
"passed","Tue Aug 08 09:59:32 GMT 2023","Tue Aug 08 10:01:15 GMT 2023","103038","sw-firefox","","","","","test",""
"passed","Tue Aug 08 09:59:20 GMT 2023","Tue Aug 08 09:59:30 GMT 2023","9962","sw-chrome","","[E2E] React Selectors","","","[E2E] Test React selectors",""
"passed","Tue Aug 08 09:59:57 GMT 2023","Tue Aug 08 10:00:18 GMT 2023","20691","sw-firefox","","[E2E] React Selectors","","","[E2E] Test React selectors",""
"passed","Tue Aug 08 10:00:15 GMT 2023","Tue Aug 08 10:00:25 GMT 2023","10113","sw-edge","","[E2E] Login scenarios","","","[E2E] Login to webpage as default user",""
"skipped","Tue Aug 08 09:59:29 GMT 2023","Tue Aug 08 09:59:29 GMT 2023","0","sw-firefox","","[E2E] Test Cases for Actors data verification","","","[E2E] Record HAR file",""
"passed","Tue Aug 08 09:59:13 GMT 2023","Tue Aug 08 09:59:23 GMT 2023","10140","sw-chrome","","[E2E] Test Cases for Actors data verification","","","[E2E] Verify HAR file usage",""
"passed","Tue Aug 08 09:59:26 GMT 2023","Tue Aug 08 09:59:31 GMT 2023","4818","sw-firefox","","","","","[API] Actor API Mock example",""
"skipped","Tue Aug 08 10:00:11 GMT 2023","Tue Aug 08 10:00:11 GMT 2023","0","sw-edge","","[E2E] Test Cases for Actors data verification","","","[E2E] Record HAR file",""
"passed","Tue Aug 08 09:59:27 GMT 2023","Tue Aug 08 09:59:35 GMT 2023","8049","sw-firefox","","[API] Tests examples","","","[API] Actors API tests example",""
"passed","Tue Aug 08 10:00:37 GMT 2023","Tue Aug 08 10:00:58 GMT 2023","20676","sw-safari","","[E2E] Test Cases for Actors data verification","","","[E2E] Verify HAR file usage",""
"skipped","Tue Aug 08 10:00:35 GMT 2023","Tue Aug 08 10:00:35 GMT 2023","0","sw-safari","","[E2E] Test Cases for Actors data verification","","","[E2E] Record HAR file",""
"passed","Tue Aug 08 09:59:13 GMT 2023","Tue Aug 08 09:59:20 GMT 2023","6579","sw-chrome","","[API] Tests examples","","","[API] Actors API tests example",""
"passed","Tue Aug 08 10:00:16 GMT 2023","Tue Aug 08 10:00:28 GMT 2023","11686","sw-edge","","[E2E] Test Cases for Actors data verification","","","[E2E] Verify HAR file usage",""
"passed","Tue Aug 08 10:00:07 GMT 2023","Tue Aug 08 10:00:14 GMT 2023","7195","sw-edge","","[API] Tests examples","","","[API] Actors API tests example",""
"passed","Tue Aug 08 10:00:25 GMT 2023","Tue Aug 08 10:00:35 GMT 2023","9972","sw-edge","","[E2E] Login scenarios","","","[E2E] Login to webpage from signup form",""
"passed","Tue Aug 08 10:00:42 GMT 2023","Tue Aug 08 10:01:06 GMT 2023","23985","sw-safari","","[E2E] Login scenarios","","","[E2E] Login to webpage as default user",""
